"record_nbr","pay_year","fms_dept","fms_department_title","job_class_pgrade","job_title","employment_type","job_status","mou","mou_title","regular_pay","overtime_pay","all_other_pay","total_pay","city_retirement_contributions","benefit_pay","gender","ethnicity"
"3536303731","2018","48","LOS ANGELES DEPARTMENT OF CONVENTION AND TOURISM DEVELOPMENT","0917-0","ELECTRICIAN - EXEMPT","PART_TIME","NOT_ACTIVE","00","NON-REPRESENTED","0","0","157.03","157.03","0","0","MALE","CAUCASIAN"
"353630373233","2018","70","POLICE","2214-3","POLICE OFFICER III","FULL_TIME","NOT_ACTIVE","24","POLICE OFFICERS, LIEUTENANT AND BELOW","103646.79","11543.16","3540.2","118730.15","47005.021965","14442.36","FEMALE","CAUCASIAN"
"3536303732","2018","70","POLICE","2214-2","POLICE OFFICER II","FULL_TIME","NOT_ACTIVE","24","POLICE OFFICERS, LIEUTENANT AND BELOW","120644.43","2801.28","1705","125150.71","56521.915455","16097.18","MALE","BLACK"
"3536303733","2018","4","AIRPORTS","1358-0","ADMINISTRATIVE CLERK","FULL_TIME","NOT_ACTIVE","03","CLERICAL","29467.2","197.33","1522.46","31186.99","8739.97152","8302.84","FEMALE","BLACK"
"303030303034","2018","88","RECREATION AND PARKS","2498-0","RECREATION ASSISTANT","PART_TIME","ACTIVE","07","RECREATION ASSISTANTS","1435.08","0","0","1435.08","0","0","MALE","OTHER"
"303030303233","2018","70","POLICE","2214-2","POLICE OFFICER II","FULL_TIME","ACTIVE","24","POLICE OFFICERS, LIEUTENANT AND BELOW","99681.53","14701.07","1525","115907.6","45043.712305","17888","MALE","HISPANIC"
"3030303032","2018","44","LIBRARY","1172-1","LIBRARY ASSISTANT I","FULL_TIME","ACTIVE","03","CLERICAL","71127.2","0","434.56","71561.76","21096.32752","7987.92","MALE","HISPANIC"
"303030303433","2018","42","HARBOR","0801-1","PORT WARDEN I","FULL_TIME","NOT_ACTIVE","27","LOS ANGELES PORT POLICE COMMAND OFFICERS","90303.04","0","29465.92","119768.96","42306.97424","3460.08","MALE","CAUCASIAN"
"3030303035","2018","88","RECREATION AND PARKS","3141-0","GARDENER CARETAKER","FULL_TIME","ACTIVE","04","EQUIPMENT OPERATION AND LABOR","57643.2","2519.92","261.36","60424.48","17096.97312","17489.04","MALE","HISPANIC"
"3030303037","2018","22","ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT","9191-1","INDUSTRIAL COMMERCIAL FINANCE OFFICER I","FULL_TIME","ACTIVE","21","TECHNICAL","135915.2","0","411.7","136326.9","40312.44832","7215.6","FEMALE","HISPANIC"
"303030303833","2018","44","LIBRARY","1111-0","MESSENGER CLERK","PART_TIME","NOT_ACTIVE","03","CLERICAL","0","0","0","0","0","0","FEMALE","HISPANIC"
"303030303933","2018","82","PUBLIC WORKS - SANITATION","7871-1","ENVIRONMENTAL ENGINEERING ASSOCIATE I","FULL_TIME","NOT_ACTIVE","08","PROFESSIONAL ENGINEERING AND SCIENTIFIC","67091.2","391.08","1790","69272.28","19899.24992","12068.64","MALE","CAUCASIAN"
"3030303131","2018","22","ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT","9207-0","HUMAN RELATIONS ADVOCATE","FULL_TIME","ACTIVE","01","ADMINISTRATIVE","94537.6","0","17.95","94555.55","28039.85216","17823.36","FEMALE","CAUCASIAN"
"303030313233","2018","40","GENERAL SERVICES","3446-0","PLUMBER SUPERVISOR","FULL_TIME","NOT_ACTIVE","13","SUPERVISORY BUILDING TRADES","106838.17","0","2434.76","109272.93","31688.201222","17489.04","MALE","CAUCASIAN"
"3030303134","2018","70","POLICE","2227-2","POLICE SERGEANT II","FULL_TIME","NOT_ACTIVE","24","POLICE OFFICERS, LIEUTENANT AND BELOW","132994.45","29185.78","1658.8","163839.03","62307.899825","16095.18","MALE","CAUCASIAN"
